Site,Season,Zone,Tide,Time,NN,Phosphate,Salinity,Silicate,TA,Temp_in,pH,percent_sgd
BP,FALL,Ambient,High,Night,0.788,0.13,34.525987812000004,4.578,2277.0881702,26.272461564,7.9927147996,0.5765743073999999
BP,FALL,Ambient,Low,Night,0.19999999999999998,0.11800000000000001,34.616179984,2.416,2254.610648,26.465387032,7.9722426166,0.3042821158
BP,FALL,Diffuse,High,Night,0.842,0.139,34.451481237,6.364,2277.2083946,26.225887790999998,7.9770825941000005,0.801511335
BP,FALL,Diffuse,Low,Night,5.636,0.254,33.587939173,27.064,2313.2948753,26.503455274,7.9611,3.4085642315999998
BP,FALL,Transition,High,Night,0.268,0.126,34.606501640000005,2.648,2272.721603,26.16527317,7.969873606,0.3335012596
BP,FALL,Transition,Low,Night,6.618,0.34,33.43917632,30.63,2301.9629924,26.562076508,7.9666,3.8576826198
BP,SPRING,Ambient,High,Night,0.2225,0.185,34.6365587425,1.9275,2192.19466025,24.008959005,8.01042411275,0.24275818625
BP,SPRING,Ambient,Low,Night,0.10400000000000001,0.126,34.664321412,1.262,2273.1313508,24.368157012,8.054933664,0.1589420654
BP,SPRING,Diffuse,High,Night,1.62,0.19,34.18023725,12.866,2302.9341278,23.716781668,7.9569129364,1.6204030226
BP,SPRING,Diffuse,Low,Night,3.366,0.222,33.975615327,17.771,2258.5217553,24.266172400000002,8.0331916121,2.238161209
BP,SPRING,Transition,High,Night,3.532,0.23600000000000002,33.858265384,20.584,2283.4524632000002,23.72962398,7.9076662508,2.5924433248
BP,SPRING,Transition,Low,Night,8.692,0.336,32.88742717,43.856,2279.8586588,24.443774572,8.0386,5.5234256928
W,FALL,Ambient,High,Night,0.21250000000000002,0.10375,34.6015676575,1.81125,2263.98312225,26.4088417925,7.963375,0.23401162775
W,FALL,Ambient,Low,Night,0.12875,0.0825,34.595854275,1.94125,2244.331949,26.20404951875,8.018625,0.25080749337499997
W,FALL,Diffuse,High,Night,0.27875,0.11125,34.46752287875,4.86125,2259.196515375,25.5931896825,7.936,0.6280684755
W,FALL,Diffuse,Low,Night,1.5975,0.17625,32.95880495,39.19,2219.82232175,25.41090188625,7.986125,5.063307494125
W,FALL,Transition,High,Night,0.8424999999999999,0.1075,33.989851015,15.73,2256.0046174999998,25.2618848175,7.925,2.0322997415
W,FALL,Transition,Low,Night,5.8774999999999995,0.4125,29.42013267,119.70750000000001,2185.882512,24.762900707500002,7.987,15.466085269499999
W,SPRING,Ambient,High,Night,0.16571428571428573,0.11142857142857143,34.603380557142856,1.77,2269.306398857143,24.053443827142857,7.941,0.22868217057142856
W,SPRING,Ambient,Low,Night,0.17125,0.12,34.60865445125,1.65,2262.731834,24.412548135,7.932875,0.21317829462500001
W,SPRING,Diffuse,High,Night,0.18375,0.1,34.51207628875,3.8475,2296.750283875,23.753726545,7.9182500000000005,0.49709302325
W,SPRING,Diffuse,Low,Night,0.62375,0.11875,34.186193653749996,11.2625,2269.23642375,23.8981333425,7.945125,1.4551033592499998
W,SPRING,Offshore,High,Night,0.09,0.15000000000000002,34.59744743,1.9050000000000002,2264.439092,24.12984958,7.975,0.24612403100000002
W,SPRING,Transition,High,Night,0.2525,0.0975,34.3958308975,6.4925,2307.87993575,23.6065426975,7.9182500000000005,0.8388242895
W,SPRING,Transition,Low,Night,1.6775,0.2075,32.929249175,39.8625,2255.1272627500002,23.550388877499998,7.9765,5.15019379825
